ts,host,url,hour,dns_ms,tcp_ms,tls_ms,server_ms,transfer_ms,total_ms,response_size,http_status,cache_state,conn_reuse,success,error_stage,error_type,source
2026-09-05T22:35:10,httpbin.org,https://httpbin.org/status/500,22,0.863,266.303,536.37,445.256,0.062,1265.469,246,500,cold,0,0,HTTP,status_500,real
2026-09-05T22:35:13,domain-khong-ton-tai-123456789.com,http://domain-khong-ton-tai-123456789.com/,22,,,,,,12028.451,0,,cold,0,0,DNS,gaierror,real
2026-09-05T22:35:26,google.com,https://google.com/,22,8.611,41.502,59.53,107.415,0.103,237.134,847,301,cold,0,1,,,real
2026-09-05T22:35:27,cloudflare.com,https://cloudflare.com/,22,1.072,44.286,49.931,135.901,0.177,251.033,1156,301,cold,0,1,,,real
2026-09-05T22:35:28,expired.badssl.com,https://expired.badssl.com/,22,183.862,241.677,,,,680.259,0,,cold,0,0,TLS,SSLCertVerificationError,real
2026-09-05T22:35:30,wrong.host.badssl.com,https://wrong.host.badssl.com/,22,72.151,233.904,,,,547.962,0,,cold,0,0,TLS,SSLCertVerificationError,real
2026-09-05T22:35:31,github.com,https://github.com/duong-dan-loi-404-test,22,19.436,73.355,75.277,153.43,293.128,634.684,271671,404,cold,0,0,HTTP,status_404,real
2026-09-05T22:35:33,httpbin.org,https://httpbin.org/status/500,22,1.233,271.506,548.225,272.736,0.068,1122.087,246,500,cold,0,0,HTTP,status_500,real
2026-09-05T22:35:35,domain-khong-ton-tai-123456789.com,http://domain-khong-ton-tai-123456789.com/,22,,,,,,12029.372,0,,cold,0,0,DNS,gaierror,real
2026-09-05T22:35:48,google.com,https://google.com/,22,6.809,39.017,56.366,107.634,0.083,227.849,847,301,cold,0,1,,,real
2026-09-05T22:35:49,cloudflare.com,https://cloudflare.com/,22,0.901,40.286,46.922,126.052,0.126,231.533,1158,301,cold,0,1,,,real
